QB,RB,RB,WR,WR,WR,TE,FLEX,D,PROJ
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,Marvin Jones Jr.,Marquise Brown,David Johnson,Austin Hooper,New England Patriots,151.46
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,A.J. Green,Marvin Jones Jr.,David Johnson,Daniel Brown,New England Patriots,151.43
Lamar Jackson,Christian McCaffrey,Austin Ekeler,A.J. Green,Marvin Jones Jr.,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,151.35
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,DJ Chark Jr.,Christian Kirk,David Johnson,Daniel Brown,New England Patriots,151.26
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,DJ Chark Jr.,A.J. Green,David Johnson,Daniel Brown,New England Patriots,151.22
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Chark Jr.,Christian Kirk,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,151.18
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Sterling Shepard,Marquise Brown,Derrick Willies,Austin Ekeler,Daniel Brown,New England Patriots,151.14
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Marvin Jones Jr.,Marquise Brown,Elijah McGuire,Austin Hooper,New England Patriots,150.98
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Terry McLaurin,Marquise Brown,Jaron Brown,Austin Ekeler,Daniel Brown,New England Patriots,150.9
Lamar Jackson,Christian McCaffrey,Dalvin Cook,DJ Chark Jr.,Marquise Brown,Derrick Willies,David Johnson,Daniel Brown,New England Patriots,150.85
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Chark Jr.,A.J. Green,Marvin Jones Jr.,Elijah McGuire,Daniel Brown,New England Patriots,150.79
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,DJ Chark Jr.,Marquise Brown,Elijah McGuire,Austin Hooper,New England Patriots,150.78
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Mike Evans,A.J. Green,Elijah McGuire,Daniel Brown,New England Patriots,150.75
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Chris Godwin,Christian Kirk,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,150.7
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Mike Evans,A.J. Green,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,150.67
Lamar Jackson,Dalvin Cook,Aaron Jones,DJ Chark Jr.,Marvin Jones Jr.,Marquise Brown,Austin Ekeler,Daniel Brown,New England Patriots,150.58
Lamar Jackson,Dalvin Cook,Austin Ekeler,John Brown,A.J. Green,Marquise Brown,David Johnson,Austin Hooper,New England Patriots,150.55
Lamar Jackson,Dalvin Cook,Austin Ekeler,A.J. Green,Marvin Jones Jr.,Sterling Shepard,David Johnson,Austin Hooper,New England Patriots,150.46
Lamar Jackson,Dalvin Cook,Austin Ekeler,A.J. Green,Golden Tate,Christian Kirk,David Johnson,Austin Hooper,New England Patriots,150.33
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,A.J. Green,Phillip Dorsett II,David Johnson,Austin Hooper,New England Patriots,150.3
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,Christian Kirk,Sterling Shepard,David Johnson,Austin Hooper,New England Patriots,150.28
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Marvin Jones Jr.,Christian Kirk,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,150.28
Lamar Jackson,Christian McCaffrey,Dalvin Cook,DJ Chark Jr.,Jaron Brown,Derrick Willies,Austin Ekeler,Daniel Brown,New England Patriots,150.26
Lamar Jackson,Christian McCaffrey,Dalvin Cook,A.J. Green,Sterling Shepard,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,150.26
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Chark Jr.,Marvin Jones Jr.,Phillip Dorsett II,David Johnson,Daniel Brown,New England Patriots,150.24
Lamar Jackson,Dalvin Cook,Austin Ekeler,Michael Thomas,Marvin Jones Jr.,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,150.22
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,Golden Tate,Terry McLaurin,David Johnson,Austin Hooper,New England Patriots,150.22
Lamar Jackson,Christian McCaffrey,Dalvin Cook,DJ Chark Jr.,Marquise Brown,Derrick Willies,Austin Ekeler,Daniel Brown,San Francisco 49ers,150.2
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Mike Evans,Phillip Dorsett II,David Johnson,Daniel Brown,New England Patriots,150.19
Lamar Jackson,Christian McCaffrey,Austin Ekeler,A.J. Green,Christian Kirk,Sterling Shepard,David Johnson,Daniel Brown,New England Patriots,150.18
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Mike Evans,Marquise Brown,Phillip Dorsett II,David Johnson,Daniel Brown,New England Patriots,150.11
Lamar Jackson,Christian McCaffrey,Austin Ekeler,A.J. Green,Golden Tate,Terry McLaurin,David Johnson,Daniel Brown,New England Patriots,150.11
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,A.J. Green,Marvin Jones Jr.,Elijah McGuire,Austin Hooper,New England Patriots,150.09
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Chark Jr.,Sterling Shepard,Terry McLaurin,David Johnson,Daniel Brown,New England Patriots,150.07
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Christian Kirk,Phillip Dorsett II,Derrick Willies,Austin Ekeler,Daniel Brown,New England Patriots,149.99
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,DJ Chark Jr.,Marquise Brown,Tevin Coleman,Daniel Brown,New England Patriots,149.94
Lamar Jackson,Christian McCaffrey,Dalvin Cook,A.J. Green,Marquise Brown,Jaron Brown,David Johnson,Daniel Brown,New England Patriots,149.94
Lamar Jackson,Dalvin Cook,Austin Ekeler,A.J. Green,Marvin Jones Jr.,Marquise Brown,Tevin Coleman,Austin Hooper,New England Patriots,149.92
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Marvin Jones Jr.,Christian Kirk,Derrick Willies,David Johnson,Daniel Brown,New England Patriots,149.87
Lamar Jackson,Christian McCaffrey,Dalvin Cook,A.J. Green,Sterling Shepard,Derrick Willies,David Johnson,Daniel Brown,New England Patriots,149.85
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Christian Kirk,Marquise Brown,Phillip Dorsett II,Austin Ekeler,Daniel Brown,San Francisco 49ers,149.83
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,A.J. Green,Phillip Dorsett II,Elijah McGuire,Austin Hooper,New England Patriots,149.82
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Christian Kirk,Sterling Shepard,Elijah McGuire,Austin Hooper,New England Patriots,149.81
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,Marvin Jones Jr.,Christian Kirk,Elijah McGuire,Austin Hooper,New England Patriots,149.79
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,A.J. Green,Sterling Shepard,Elijah McGuire,Austin Hooper,New England Patriots,149.77
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,Christian Kirk,Marquise Brown,Tevin Coleman,Austin Hooper,New England Patriots,149.75
Lamar Jackson,Christian McCaffrey,Austin Ekeler,A.J. Green,Marquise Brown,Phillip Dorsett II,Elijah McGuire,Austin Hooper,New England Patriots,149.74
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Christian Kirk,Sterling Shepard,Marquise Brown,Elijah McGuire,Austin Hooper,New England Patriots,149.73
Lamar Jackson,Aaron Jones,Austin Ekeler,Chris Godwin,DJ Chark Jr.,A.J. Green,David Johnson,Daniel Brown,New England Patriots,149.72
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,A.J. Green,Christian Kirk,Tevin Coleman,Daniel Brown,New England Patriots,149.72
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Chris Godwin,Marquise Brown,Derrick Willies,David Johnson,Daniel Brown,New England Patriots,149.7
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Marvin Jones Jr.,Christian Kirk,Marquise Brown,David Johnson,Daniel Brown,San Francisco 49ers,149.7
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Sterling Shepard,Marquise Brown,Phillip Dorsett II,David Johnson,Daniel Brown,New England Patriots,149.7
Lamar Jackson,Dalvin Cook,David Johnson,Chris Godwin,A.J. Green,Marvin Jones Jr.,Elijah McGuire,Austin Hooper,New England Patriots,149.7
Lamar Jackson,Christian McCaffrey,Dalvin Cook,A.J. Green,Sterling Shepard,Marquise Brown,David Johnson,Daniel Brown,San Francisco 49ers,149.69
Lamar Jackson,Dalvin Cook,Aaron Jones,A.J. Green,Marquise Brown,Derrick Willies,Austin Ekeler,Austin Hooper,New England Patriots,149.68
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,John Brown,Calvin Ridley,David Johnson,Daniel Brown,New England Patriots,149.68
Lamar Jackson,Dalvin Cook,Aaron Jones,John Brown,A.J. Green,Marquise Brown,Austin Ekeler,Daniel Brown,New England Patriots,149.67
Lamar Jackson,Dalvin Cook,Austin Ekeler,Michael Thomas,DJ Chark Jr.,Marvin Jones Jr.,Elijah McGuire,Daniel Brown,New England Patriots,149.67
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Golden Tate,Derrick Willies,David Johnson,Austin Hooper,New England Patriots,149.66
Lamar Jackson,Christian McCaffrey,Austin Ekeler,A.J. Green,Christian Kirk,Marquise Brown,Tevin Coleman,Daniel Brown,New England Patriots,149.64
Lamar Jackson,Christian McCaffrey,David Johnson,Chris Godwin,DJ Chark Jr.,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,149.64
Lamar Jackson,Christian McCaffrey,David Johnson,A.J. Green,Marvin Jones Jr.,Marquise Brown,Elijah McGuire,Austin Hooper,New England Patriots,149.62
Lamar Jackson,Christian McCaffrey,Austin Ekeler,John Brown,Calvin Ridley,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,149.6
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Chris Godwin,Sterling Shepard,Terry McLaurin,Elijah McGuire,Daniel Brown,New England Patriots,149.59
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Golden Tate,Marquise Brown,Derrick Willies,David Johnson,Austin Hooper,New England Patriots,149.58
Lamar Jackson,Dalvin Cook,Austin Ekeler,Calvin Ridley,Marvin Jones Jr.,Christian Kirk,David Johnson,Austin Hooper,New England Patriots,149.58
Lamar Jackson,Dalvin Cook,Leonard Fournette,DJ Chark Jr.,A.J. Green,Marquise Brown,Austin Ekeler,Daniel Brown,New England Patriots,149.58
Lamar Jackson,Dalvin Cook,Aaron Jones,A.J. Green,Marvin Jones Jr.,Sterling Shepard,Austin Ekeler,Daniel Brown,New England Patriots,149.58
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Mike Evans,Marvin Jones Jr.,Terry McLaurin,Elijah McGuire,Daniel Brown,New England Patriots,149.57
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,A.J. Green,Derrick Willies,David Johnson,Austin Hooper,New England Patriots,149.55
Lamar Jackson,Christian McCaffrey,Dalvin Cook,Christian Kirk,Marquise Brown,A.J. Brown,David Johnson,Daniel Brown,New England Patriots,149.55
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,DJ Moore,Golden Tate,David Johnson,Daniel Brown,New England Patriots,149.55
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,A.J. Green,Marquise Brown,Jamaal Williams,Austin Hooper,New England Patriots,149.54
Lamar Jackson,Dalvin Cook,Austin Ekeler,Michael Thomas,Mike Evans,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,149.54
Lamar Jackson,Dalvin Cook,David Johnson,Chris Godwin,DJ Chark Jr.,Christian Kirk,Elijah McGuire,Austin Hooper,New England Patriots,149.52
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Chark Jr.,Terry McLaurin,Marquise Brown,Tevin Coleman,Daniel Brown,New England Patriots,149.53
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,A.J. Green,Marvin Jones Jr.,David Johnson,Austin Hooper,San Francisco 49ers,149.52
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Golden Tate,Marquise Brown,David Johnson,Austin Hooper,San Francisco 49ers,149.5
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Mike Evans,Marvin Jones Jr.,Derrick Willies,David Johnson,Daniel Brown,New England Patriots,149.49
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Christian Kirk,Jaron Brown,David Johnson,Austin Hooper,New England Patriots,149.49
Lamar Jackson,Dalvin Cook,David Johnson,Mike Evans,DJ Chark Jr.,A.J. Green,Elijah McGuire,Austin Hooper,New England Patriots,149.49
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Marvin Jones Jr.,Golden Tate,Sterling Shepard,David Johnson,Daniel Brown,New England Patriots,149.49
Lamar Jackson,Christian McCaffrey,Dalvin Cook,DJ Chark Jr.,A.J. Green,Derrick Willies,Elijah McGuire,Daniel Brown,New England Patriots,149.48
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Tyler Lockett,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,149.46
Lamar Jackson,Dalvin Cook,Austin Ekeler,John Brown,Marvin Jones Jr.,Terry McLaurin,David Johnson,Austin Hooper,New England Patriots,149.45
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Moore,Golden Tate,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,149.47
Lamar Jackson,Dalvin Cook,Aaron Jones,A.J. Green,Golden Tate,Christian Kirk,Austin Ekeler,Daniel Brown,New England Patriots,149.45
Lamar Jackson,Christian McCaffrey,David Johnson,DJ Chark Jr.,Christian Kirk,Marquise Brown,Elijah McGuire,Austin Hooper,New England Patriots,149.44
Lamar Jackson,Dalvin Cook,Austin Ekeler,A.J. Green,Calvin Ridley,Terry McLaurin,David Johnson,Austin Hooper,New England Patriots,149.43
Lamar Jackson,Dalvin Cook,Aaron Jones,DJ Chark Jr.,A.J. Green,Phillip Dorsett II,Austin Ekeler,Daniel Brown,New England Patriots,149.42
Lamar Jackson,Christian McCaffrey,David Johnson,Chris Godwin,A.J. Green,Christian Kirk,Elijah McGuire,Daniel Brown,New England Patriots,149.42
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Christian Kirk,Marquise Brown,Jaron Brown,David Johnson,Austin Hooper,New England Patriots,149.41
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Mike Evans,Marvin Jones Jr.,David Johnson,Daniel Brown,San Francisco 49ers,149.41
Lamar Jackson,Dalvin Cook,Aaron Jones,DJ Chark Jr.,Christian Kirk,Sterling Shepard,Austin Ekeler,Daniel Brown,New England Patriots,149.41
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Chris Godwin,Sterling Shepard,Jaron Brown,David Johnson,Daniel Brown,New England Patriots,149.41
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,Marquise Brown,Phillip Dorsett II,David Johnson,Austin Hooper,New England Patriots,149.41
Lamar Jackson,Dalvin Cook,Leonard Fournette,DJ Chark Jr.,Marvin Jones Jr.,Christian Kirk,Austin Ekeler,Daniel Brown,New England Patriots,149.41
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Marvin Jones Jr.,Sammy Watkins,Christian Kirk,David Johnson,Daniel Brown,New England Patriots,149.39
Lamar Jackson,Dalvin Cook,Austin Ekeler,Mike Evans,A.J. Green,Marquise Brown,David Johnson,Austin Hooper,San Francisco 49ers,149.39
