Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40934-57840,RB,Rashaad,Rashaad Penny,Penny,6.357142857,7,6100,MIN@SEA,SEA,MIN,,,,,
40934-66008,WR,Diontae,Diontae Johnson,Johnson,6.836363359,11,5300,CLE@PIT,PIT,CLE,,,,,
40934-54817,WR,Diontae,Diontae Spencer,Spencer,0.55,10,4600,LAC@DEN,DEN,LAC,,,,,
40934-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,14.8545449,11,6900,TB@JAC,JAC,TB,,,,,
40934-63043,WR,DJ,DJ Moore,Moore,13.07272755,11,6800,WAS@CAR,CAR,WAS,,,,,
40934-73048,WR,DK,DK Metcalf,Metcalf,10.09999986,11,6300,MIN@SEA,SEA,MIN,,,,,
40934-31561,WR,Donte,Donte Moncrief,Moncrief,0.949999988,4,4500,WAS@CAR,CAR,WAS,,,,,
40934-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,6.314285823,7,5000,SF@BAL,SF,BAL,,,,,
40934-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,13.39400024,10,7100,PHI@MIA,MIA,PHI,,,,,
40934-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,13.21428571,7,6000,NO@ATL,NO,ATL,,,,,
40934-56711,TE,Drew,Drew Sample,Sample,1.375,4,4000,NYJ@CIN,CIN,NYJ,O,Ankle,,John Brown,9.22
40934-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,12.19199982,10,6800,CHI@DET,CHI,DET,,,,,
40934-27338,RB,Rex,Rex Burkhead,Burkhead,6.262499809,8,5400,NE@HOU,NE,HOU,,,,,
40934-54280,WR,Duke,Duke Williams,Williams,4.933333397,3,4500,BUF@DAL,BUF,DAL,,,,,
40934-42046,TE,Durham,Durham Smythe,Smythe,0.580000019,5,4000,PHI@MIA,MIA,PHI,,,,,
40934-14358,WR,Dwayne,Dwayne Harris,Harris,0.400000016,3,4500,OAK@KC,OAK,KC,IR,Foot,,Jonnu Smith,1
40934-53729,QB,Mason,Mason Rudolph,Rudolph,12.08222198,9,6200,CLE@PIT,PIT,CLE,,,,,
40934-31061,RB,T.J.,T.J. Yeldon,Yeldon,5.833333333,3,4600,BUF@DAL,BUF,DAL,,,,,
40934-31170,QB,Brandon,Brandon Allen,Allen,11.5,3,6600,LAC@DEN,DEN,LAC,,,,,
40934-6714,QB,Joe,Joe Flacco,Flacco,11.23499966,8,6000,LAC@DEN,DEN,LAC,IR,Neck,,,
40934-40167,RB,Gus,Gus Edwards,Edwards,5.581818321,11,5400,SF@BAL,BAL,SF,,,,,
40934-63759,RB,Tony,Tony Pollard,Pollard,5.470000076,10,5200,BUF@DAL,DAL,BUF,,,,,
40934-31406,RB,Alfred,Alfred Blue,Blue,5.456250191,16,4500,TB@JAC,JAC,TB,,,,,
40934-103992,WR,Emmanuel,Emmanuel Butler,Butler,0,0,4500,NO@ATL,NO,ATL,,,,,
40934-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,8.924999873,12,6400,SF@BAL,SF,BAL,,,,,
40934-25272,TE,Eric,Eric Ebron,Ebron,6.454545455,11,5300,TEN@IND,IND,TEN,IR,Ankle,,Julian Edelman,18.9
40934-79980,TE,Eric,Eric Saubert,Saubert,1.460000038,5,4000,OAK@KC,OAK,KC,,,,,
40934-32957,TE,Eric,Eric Tomlinson,Tomlinson,0.600000024,1,4000,NE@HOU,NE,HOU,,,,,
40934-29390,TE,Evan,Evan Baylis,Baylis,0,0,4000,GB@NYG,GB,NYG,,,,,
40934-41872,TE,Evan,Evan Engram,Engram,10.92500019,8,6400,GB@NYG,NYG,GB,Q,Foot,,,
40934-63625,RB,Nyheim,Nyheim Hines,Hines,5.454545455,11,5500,TEN@IND,IND,TEN,,,,,
40934-60712,TE,Foster,Foster Moreau,Moreau,5.222222222,9,4700,OAK@KC,OAK,KC,,,,,
40934-43334,RB,J.D.,J.D. McKissic,McKissic,5.118181749,11,5200,CHI@DET,DET,CHI,,,,,
40934-31602,WR,Fred,Fred Brown,Brown,1.033333302,3,4500,LAC@DEN,DEN,LAC,,,,,
40934-6808,QB,Matt,Matt Moore,Moore,10.61499977,4,6000,OAK@KC,KC,OAK,,,,,
40934-22754,TE,Garrett,Garrett Celek,Celek,3.916666667,6,4000,SF@BAL,SF,BAL,,,,,
40934-55153,TE,Garrett,Garrett Dickerson,Dickerson,0,0,4000,GB@NYG,NYG,GB,,,,,
40934-22994,QB,Case,Case Keenum,Keenum,10.10249996,8,6000,WAS@CAR,WAS,CAR,,,,,
40934-63061,WR,Gary,Gary Jennings,Jennings,0,0,4500,PHI@MIA,MIA,PHI,IR,Shoulder,,Keelan Doss,1.6
40934-8803,QB,Chase,Chase Daniel,Daniel,9.333333333,3,6500,CHI@DET,CHI,DET,,,,,
40934-38523,TE,Geoff,Geoff Swaim,Swaim,2.166666667,6,4000,TB@JAC,JAC,TB,IR,Concussion,,Keith Smith,0.4
40934-39793,TE,George,George Kittle,Kittle,12.53333367,9,7000,SF@BAL,SF,BAL,,,,,
40934-57299,TE,Gerald,Gerald Everett,Everett,6.481818459,11,6300,LAR@ARI,LAR,ARI,Q,Knee,,,
40934-34125,WR,Geremy,Geremy Davis,Davis,2.650000095,2,4500,LAC@DEN,LAC,DEN,Q,Hamstring,,,
40934-52560,WR,Geronimo,Geronimo Allison,Allison,4.570000076,10,4900,GB@NYG,GB,NYG,,,,,
40934-55165,RB,Justin,Justin Jackson,Jackson,5.099999905,4,5000,LAC@DEN,LAC,DEN,Q,Calf,,,
40934-11485,WR,Golden,Golden Tate,Tate,12.37142835,7,6300,GB@NYG,NYG,GB,Q,Concussion,,,
40934-12533,D,Green Bay,Green Bay Packers,Packers,6.090909091,11,4800,GB@NYG,GB,NYG,,,,,
40934-69558,WR,Greg,Greg Dortch,Dortch,0,1,4500,WAS@CAR,CAR,WAS,,,,,
40934-6914,TE,Greg,Greg Olsen,Olsen,7.954545455,11,5100,WAS@CAR,CAR,WAS,,,,,
40934-40434,WR,Greg,Greg Ward,Ward,7,1,5300,PHI@MIA,PHI,MIA,,,,,
40934-104577,WR,Gunner,Gunner Olszewski,Olszewski,0.342857156,7,4600,NE@HOU,NE,HOU,IR,Ankle,,Kyle Juszczyk,0
40934-62791,RB,Mark,Mark Walton,Walton,4.928571429,7,4500,PHI@MIA,MIA,PHI,,,,,
40934-64175,WR,Hakeem,Hakeem Butler,Butler,0,0,4500,LAR@ARI,ARI,LAR,IR,Hand,,Kyler Murray,14.32
40934-64563,TE,Hale,Hale Hentges,Hentges,1.149999976,2,4000,WAS@CAR,WAS,CAR,,,,,
40934-64031,TE,Hayden,Hayden Hurst,Hurst,3.200000069,11,4500,SF@BAL,BAL,SF,,,,,
40934-12556,D,Houston,Houston Texans,Texans,5.727272727,11,3200,NE@HOU,HOU,NE,,,,,
40934-40845,TE,Hunter,Hunter Henry,Henry,12.59999956,7,6600,LAC@DEN,LAC,DEN,,,,,
40934-57986,WR,Hunter,Hunter Renfrow,Renfrow,6.327272589,11,5500,OAK@KC,OAK,KC,O,Ribs,,Latavius Murray,0.2
40934-55099,TE,Ian,Ian Bunting,Bunting,0,0,4000,TEN@IND,IND,TEN,,,,,
40934-72515,TE,Ian,Ian Thomas,Thomas,0.224999994,4,4000,WAS@CAR,CAR,WAS,,,,,
40934-12535,D,Indianapolis,Indianapolis Colts,Colts,6.636363636,11,4300,TEN@IND,IND,TEN,,,,,
40934-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,5.066666497,9,5100,MIN@SEA,MIN,SEA,,,,,
40934-69326,TE,Isaac,Isaac Nauta,Nauta,0,0,4000,CHI@DET,DET,CHI,,,,,
40934-56356,WR,Isaiah,Isaiah Ford,Ford,0.633333325,3,4500,PHI@MIA,MIA,PHI,,,,,
40934-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,4.262499809,8,4800,BUF@DAL,BUF,DAL,,,,,
40934-39818,RB,Wayne,Wayne Gallman Jr.,Gallman Jr.,4.744444529,9,4500,GB@NYG,NYG,GB,,,,,
40934-55941,RB,Patrick,Patrick Laird,Laird,4.566666603,3,4900,PHI@MIA,MIA,PHI,,,,,
40934-25957,TE,J.P.,J.P. Holtz,Holtz,1.099999984,3,4000,CHI@DET,CHI,DET,,,,,
40934-62998,TE,Jace,Jace Sternberger,Sternberger,0,0,4000,GB@NYG,GB,NYG,,,,,
40934-39859,TE,Jack,Jack Doyle,Doyle,6.340000153,10,5000,TEN@IND,IND,TEN,,,,,
40934-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,6.909090909,11,4400,TB@JAC,JAC,TB,,,,,
40934-54007,TE,Jacob,Jacob Hollister,Hollister,8.680000305,5,5500,MIN@SEA,SEA,MIN,Q,Foot,,,
40934-46866,QB,Ryan,Ryan Finley,Finley,8.886666616,3,6400,NYJ@CIN,CIN,NYJ,,,,,
40934-84440,TE,Jaeden,Jaeden Graham,Graham,3.325000048,4,4900,NO@ATL,ATL,NO,,,,,
40934-14185,QB,Cam,Cam Newton,Newton,8.840000153,2,6000,WAS@CAR,CAR,WAS,IR,Foot,,,
40934-38753,TE,Jake,Jake Butt,Butt,4.166666667,3,4000,LAC@DEN,DEN,LAC,IR,Knee,,Marquise Goodwin,0
40934-6679,QB,Matt,Matt Schaub,Schaub,8.5,4,6000,NO@ATL,ATL,NO,,,,,
40934-27671,WR,Jake,Jake Kumerow,Kumerow,3.412499905,8,4900,GB@NYG,GB,NYG,,,,,
40934-7872,QB,Brian,Brian Hoyer,Hoyer,8.426666896,3,6000,TEN@IND,IND,TEN,,,,,
40934-32703,WR,Jakeem,Jakeem Grant,Grant,4.044444614,9,5000,PHI@MIA,MIA,PHI,Q,Ankle,,,
40934-55689,RB,Ito,Ito Smith,Smith,4.399999891,7,4500,NO@ATL,ATL,NO,IR,Concussion,,Matt Moore,-0.1
40934-63634,WR,Jakobi,Jakobi Meyers,Meyers,4.349999905,8,5100,NE@HOU,NE,HOU,,,,,
40934-68800,WR,Jaleel,Jaleel Scott,Scott,0,0,4500,SF@BAL,BAL,SF,,,,,
40934-52391,WR,Jalen,Jalen Harvey,Harvey,0,0,4500,MIN@SEA,SEA,MIN,,,,,
40934-52405,WR,Jalen,Jalen Hurd,Hurd,0,0,4500,SF@BAL,SF,BAL,IR,Back,,Maxx Williams,0
40934-61379,RB,Kerrith,Kerrith Whyte Jr.,Whyte Jr.,4.300000191,1,5100,CLE@PIT,PIT,CLE,,,,,
40934-32331,RB,Tra,Tra Carson,Carson,4.300000191,2,4500,CHI@DET,DET,CHI,,,,,
40934-29587,QB,Cody,Cody Kessler,Kessler,8.131999969,5,6000,NE@HOU,NE,HOU,,,,,
40934-72776,RB,Alexander,Alexander Mattison,Mattison,4.245454615,11,4800,MIN@SEA,MIN,SEA,,,,,
40934-39428,RB,Kyle,Kyle Juszczyk,Juszczyk,4.2,5,4600,SF@BAL,SF,BAL,,,,,
40934-55748,WR,James,James Washington,Washington,6.969999695,10,6200,CLE@PIT,PIT,CLE,,,,,
40934-32234,RB,Malcolm,Malcolm Brown,Brown,4.155555725,9,4900,LAR@ARI,LAR,ARI,,,,,
40934-24755,WR,Jamison,Jamison Crowder,Crowder,9.445454684,11,6300,NYJ@CIN,NYJ,CIN,,,,,
40934-70889,RB,Benny,Benny Snell Jr.,Snell Jr.,4.083333333,6,6100,CLE@PIT,PIT,CLE,,,,,
40934-7761,TE,Jared,Jared Cook,Cook,8.433333503,9,6700,NO@ATL,NO,ATL,,,,,
40934-95893,QB,Devlin,Devlin Hodges,Hodges,7.54000028,3,6800,CLE@PIT,PIT,CLE,,,,,
40934-22054,WR,Jarius,Jarius Wright,Wright,2.472727342,11,4600,WAS@CAR,CAR,WAS,,,,,
40934-24589,WR,Jaron,Jaron Brown,Brown,7.5,5,4600,MIN@SEA,SEA,MIN,,,,,
40934-73183,QB,Dwayne,Dwayne Haskins Jr.,Haskins Jr.,7.031999969,5,6500,WAS@CAR,WAS,CAR,Q,Wrist,,,
40934-31394,WR,Jarvis,Jarvis Landry,Landry,13.16363664,11,7400,CLE@PIT,CLE,PIT,,,,,
40934-104297,WR,Jason,Jason Moore,Moore,1.76666673,3,4500,LAC@DEN,LAC,DEN,,,,,
40934-6641,TE,Jason,Jason Witten,Witten,6.236363498,11,5500,BUF@DAL,DAL,BUF,,,,,
40934-71359,WR,Javon,Javon Wims,Wims,2.514285769,7,4500,CHI@DET,CHI,DET,,,,,
40934-52371,RB,Kalen,Kalen Ballage,Ballage,4.072727203,11,5300,PHI@MIA,MIA,PHI,,,,,
40934-22898,RB,Brandon,Brandon Bolden,Bolden,3.940000153,10,4500,NE@HOU,NE,HOU,,,,,
40934-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,3.900000139,11,4700,TB@JAC,TB,JAC,,,,,
40934-63387,WR,Jayson,Jayson Stanley,Stanley,0,0,4500,PHI@MIA,MIA,PHI,,,,,
40934-11500,QB,Colt,Colt McCoy,McCoy,5.28000021,1,6000,WAS@CAR,WAS,CAR,,,,,
40934-28487,TE,Jeff,Jeff Heuerman,Heuerman,2.950000048,4,4200,LAC@DEN,DEN,LAC,,,,,
40934-64350,WR,Jeff,Jeff Smith,Smith,0,0,4500,NYJ@CIN,NYJ,CIN,,,,,
40934-55224,RB,Reggie,Reggie Bonnafon,Bonnafon,3.859999847,5,4500,WAS@CAR,CAR,WAS,,,,,
40934-28065,WR,Jehu,Jehu Chesson,Chesson,0.200000003,4,4500,WAS@CAR,WAS,CAR,,,,,
40934-31169,TE,Jeremy,Jeremy Sprinkle,Sprinkle,2.772727273,11,4500,WAS@CAR,WAS,CAR,,,,,
40934-57556,TE,Jerome,Jerome Cunningham,Cunningham,0,1,4000,WAS@CAR,WAS,CAR,IR,Knee,,Nick Chubb,8.4
40934-104421,TE,Jesper,Jesper Horsted,Horsted,0.899999976,1,4000,CHI@DET,CHI,DET,,,,,
40934-28694,TE,Jesse,Jesse James,James,1.288888931,9,4000,CHI@DET,DET,CHI,,,,,
40934-14194,QB,Blaine,Blaine Gabbert,Gabbert,4.630000114,8,6000,TB@JAC,TB,JAC,IR,Shoulder,,,
40934-11512,TE,Jimmy,Jimmy Graham,Graham,5.79090916,11,5800,GB@NYG,GB,NYG,,,,,
40934-64907,WR,JJ,JJ Arcega-Whiteside,Arcega-Whiteside,2.775000095,4,4900,PHI@MIA,PHI,MIA,,,,,
40934-62364,QB,Josh,Josh Rosen,Rosen,4.595999908,5,6000,PHI@MIA,MIA,PHI,,,,,
40934-33472,RB,C.J.,C.J. Prosise,Prosise,3.840000153,5,4600,MIN@SEA,SEA,MIN,,,,,
40934-54606,WR,John,John Brown,Brown,13.18181818,11,6600,BUF@DAL,BUF,DAL,,,,,
40934-33578,RB,Jalen,Jalen Richard,Richard,3.772727273,11,5000,OAK@KC,OAK,KC,,,,,
40934-65518,WR,John,John Ursua,Ursua,0,0,4500,MIN@SEA,SEA,MIN,,,,,
40934-29605,QB,Matt,Matt Barkley,Barkley,4.079999924,1,6000,BUF@DAL,BUF,DAL,,,,,
40934-41922,WR,Johnny,Johnny Holton,Holton,0.514285701,7,4900,CLE@PIT,PIT,CLE,,,,,
40934-40371,TE,Johnny,Johnny Mundt,Mundt,0.699999988,2,4000,LAR@ARI,LAR,ARI,,,,,
40934-44280,WR,JoJo,JoJo Natson,Natson,0,11,4500,LAR@ARI,LAR,ARI,,,,,
40934-32613,RB,DeAndre,DeAndre Washington,Washington,3.718181957,11,5000,OAK@KC,OAK,KC,,,,,
40934-48116,TE,Jonnu,Jonnu Smith,Smith,4.709999847,10,5300,TEN@IND,TEN,IND,,,,,
40934-57338,TE,Jordan,Jordan Akins,Akins,4.809091048,11,4900,NE@HOU,HOU,NE,,,,,
40934-57325,TE,Jordan,Jordan Franks,Franks,1.566666603,3,4000,NYJ@CIN,CIN,NYJ,,,,,
40934-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,3.6,5,5400,LAR@ARI,LAR,ARI,,,,,
40934-39814,TE,Jordan,Jordan Leggett,Leggett,1.876923048,13,4000,TB@JAC,TB,JAC,,,,,
40934-30837,WR,Jordan,Jordan Matthews,Matthews,2.650000095,2,4700,PHI@MIA,PHI,MIA,,,,,
40934-25290,RB,Giovani,Giovani Bernard,Bernard,3.5,11,4700,NYJ@CIN,CIN,NYJ,,,,,
40934-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,3.466666751,9,4600,CLE@PIT,CLE,PIT,,,,,
40934-27273,RB,Andy,Andy Janovich,Janovich,3.200000048,4,4500,LAC@DEN,DEN,LAC,IR,Elbow,,Randall Cobb,6.8
40934-57537,QB,DeShone,DeShone Kizer,Kizer,2.460000038,3,6000,OAK@KC,OAK,KC,,,,,
40934-22336,WR,Josh,Josh Bellamy,Bellamy,1.5,2,4500,NYJ@CIN,NYJ,CIN,IR,Shoulder,,Rashaad Penny,24.7
40934-21941,QB,Robert,Robert Griffin III,Griffin III,2.390000105,4,6000,SF@BAL,BAL,SF,,,,,
40934-23194,WR,Josh,Josh Gordon,Gordon,6.25,8,4800,MIN@SEA,SEA,MIN,,,,,
40934-39492,TE,Josh,Josh Hill,Hill,3.666666667,9,4500,NO@ATL,NO,ATL,,,,,
40934-63050,RB,Ty,Ty Johnson,Johnson,3.179999924,10,4900,CHI@DET,DET,CHI,,,,,
40934-27801,QB,Nate,Nate Sudfeld,Sudfeld,2.339999914,2,6000,PHI@MIA,PHI,MIA,,,,,
40934-63907,TE,Josh,Josh Oliver,Oliver,1,3,4000,TB@JAC,JAC,TB,IR,Back,,Robbie Gould,5
40934-53097,WR,Josh,Josh Reynolds,Reynolds,3.072727203,11,5300,LAR@ARI,LAR,ARI,,,,,
40934-25410,QB,Mike,Mike Glennon,Glennon,2.119999886,2,6000,OAK@KC,OAK,KC,,,,,
40934-29956,TE,Joshua,Joshua Perkins,Perkins,3.066666603,3,4000,PHI@MIA,PHI,MIA,,,,,
40934-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,8.740000153,10,6500,CLE@PIT,PIT,CLE,Q,Concussion,,,
40934-7859,WR,Julian,Julian Edelman,Edelman,13.58000044,11,7500,NE@HOU,NE,HOU,,,,,
40934-14190,WR,Julio,Julio Jones,Jones,13.69999972,11,7800,NO@ATL,ATL,NO,Q,Shoulder,,,
40934-26384,RB,Trey,Trey Edmunds,Edmunds,3.160000038,5,4800,CLE@PIT,PIT,CLE,,,,,
40934-33137,WR,Justin,Justin Hardy,Hardy,2.399999891,7,4600,NO@ATL,ATL,NO,,,,,
40934-14339,RB,Dion,Dion Lewis,Lewis,3.029999924,10,4700,TEN@IND,TEN,IND,,,,,
40934-83083,WR,Justin,Justin Watson,Watson,1.799999952,1,4500,TB@JAC,TB,JAC,,,,,
40934-61468,WR,Juwan,Juwan Foggie,Foggie,0,0,4500,BUF@DAL,BUF,DAL,,,,,
40934-56142,WR,Juwann,Juwann Winfree,Winfree,0,0,4500,LAC@DEN,DEN,LAC,,,,,
40934-71806,TE,Kaden,Kaden Smith,Smith,5.400000095,2,4000,GB@NYG,NYG,GB,,,,,
40934-64786,RB,Ryquell,Ryquell Armstead,Armstead,2.911111196,9,4500,TB@JAC,JAC,TB,,,,,
40934-70422,WR,Kalif,Kalif Raymond,Raymond,2.5,4,4700,TEN@IND,TEN,IND,,,,,
40934-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7.636363636,11,4200,OAK@KC,KC,OAK,,,,,
40934-43433,RB,Boston,Boston Scott,Scott,2.879999924,5,5200,PHI@MIA,PHI,MIA,,,,,
40934-58041,RB,Mike,Mike Boone,Boone,2.799999952,1,4500,MIN@SEA,MIN,SEA,,,,,
40934-79998,WR,Keelan,Keelan Cole,Cole,5.242857252,7,5100,TB@JAC,JAC,TB,,,,,
40934-96942,WR,Keelan,Keelan Doss,Doss,3.633333206,3,4600,OAK@KC,OAK,KC,,,,,
40934-29253,WR,Keenan,Keenan Allen,Allen,12.79090881,11,6800,LAC@DEN,LAC,DEN,,,,,
40934-57208,WR,KeeSean,KeeSean Johnson,Johnson,3.55,10,4500,LAR@ARI,ARI,LAR,,,,,
40934-45997,WR,Keith,Keith Kirkwood,Kirkwood,5.628571647,7,4500,NO@ATL,NO,ATL,IR,Hamstring,,Seth Roberts,1
40934-41867,RB,Jordan,Jordan Wilkins,Wilkins,2.650000095,8,4700,TEN@IND,IND,TEN,,,,,
40934-64242,WR,Keke,Keke Coutee,Coutee,5.549999873,6,4600,NE@HOU,HOU,NE,,,,,
40934-71039,WR,Kelvin,Kelvin Harmon,Harmon,3.137500048,8,4800,WAS@CAR,WAS,CAR,,,,,
40934-55895,TE,Kendall,Kendall Blanton,Blanton,0,0,4000,LAR@ARI,LAR,ARI,,,,,
40934-80289,WR,Kendrick,Kendrick Bourne,Bourne,5.118181749,11,4600,SF@BAL,SF,BAL,,,,,
40934-14820,RB,Nick,Nick Bellore,Bellore,2.5,1,4500,MIN@SEA,SEA,MIN,Q,Quadriceps,,,
40934-54244,WR,Kenny,Kenny Golladay,Golladay,13.33636336,11,7100,CHI@DET,DET,CHI,,,,,
40934-27457,WR,Kenny,Kenny Stills,Stills,6.611111111,9,5000,NE@HOU,HOU,NE,,,,,
40934-34729,RB,Dwayne,Dwayne Washington,Washington,2.450000048,2,4500,NO@ATL,NO,ATL,,,,,
40934-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,2.439999962,5,4500,CLE@PIT,CLE,PIT,,,,,
40934-28437,RB,Danny,Danny Vitale,Vitale,2.25,6,4500,GB@NYG,GB,NYG,,,,,
40934-83226,TE,Kevin,Kevin Rader,Rader,0,0,4000,CLE@PIT,PIT,CLE,,,,,
40934-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.033333302,3,4800,CLE@PIT,CLE,PIT,,,,,
40934-28545,RB,Rod,Rod Smith,Smith,2.246153905,13,4500,TEN@IND,TEN,IND,,,,,
40934-72676,RB,Troymaine,Troymaine Pope,Pope,2.079999924,5,5000,LAC@DEN,LAC,DEN,,,,,
40934-6803,QB,Josh,Josh McCown,McCown,0.379999995,2,6000,PHI@MIA,PHI,MIA,,,,,
40934-40407,QB,Josh,Josh Dobbs,Dobbs,0.36400001,5,6000,TB@JAC,JAC,TB,,,,,
40934-30635,RB,Mike,Mike Davis,Davis,2.049999952,4,4500,WAS@CAR,CAR,WAS,,,,,
40934-40482,QB,Tim,Tim Boyle,Boyle,0.150000006,2,6000,GB@NYG,GB,NYG,,,,,
40934-14237,TE,Kyle,Kyle Rudolph,Rudolph,6.50909077,11,4500,MIN@SEA,MIN,SEA,,,,,
40934-28434,QB,Trevor,Trevor Siemian,Siemian,0.119999997,1,6000,NYJ@CIN,NYJ,CIN,IR,Ankle,,,
40934-34308,QB,Blake,Blake Bortles,Bortles,0.100000001,1,6000,LAR@ARI,LAR,ARI,,,,,
40934-14377,QB,Tyrod,Tyrod Taylor,Taylor,0.090000004,2,6000,LAC@DEN,LAC,DEN,,,,,
40934-14240,TE,Lance,Lance Kendricks,Kendricks,1.625,4,4400,LAC@DEN,LAC,DEN,,,,,
40934-41806,WR,Laquon,Laquon Treadwell,Treadwell,2.279999924,5,4700,MIN@SEA,MIN,SEA,,,,,
40934-6883,WR,Larry,Larry Fitzgerald,Fitzgerald,9.345454823,11,5700,LAR@ARI,ARI,LAR,,,,,
40934-38509,RB,Wendell,Wendell Smallwood,Smallwood,2.011111153,9,4500,WAS@CAR,WAS,CAR,,,,,
40934-14348,TE,Lee,Lee Smith,Smith,2.220000076,5,4000,BUF@DAL,BUF,DAL,,,,,
40934-70501,RB,C.J.,C.J. Ham,Ham,1.888888889,9,4500,MIN@SEA,MIN,SEA,,,,,
40934-71521,RB,Justice,Justice Hill,Hill,1.718181784,11,4500,SF@BAL,BAL,SF,,,,,
40934-79982,RB,Alex,Alex Armah,Armah,1.7,5,4500,WAS@CAR,CAR,WAS,,,,,
40934-29725,TE,Levine,Levine Toilolo,Toilolo,1,2,4500,SF@BAL,SF,BAL,,,,,
40934-71031,WR,Lil'Jordan,Lil'Jordan Humphrey,Humphrey,0,1,4500,NO@ATL,NO,ATL,,,,,
40934-12055,TE,Logan,Logan Paulsen,Paulsen,2.800000054,7,4000,NE@HOU,HOU,NE,,,,,
40934-62271,WR,Logan,Logan Tago,Tago,0,0,4500,MIN@SEA,SEA,MIN,,,,,
40934-26355,TE,Logan,Logan Thomas,Thomas,2.611111111,9,4700,CHI@DET,DET,CHI,,,,,
40934-31047,QB,AJ,AJ McCarron,McCarron,0,1,6000,NE@HOU,HOU,NE,,,,,
40934-12548,D,Los Angeles,Los Angeles Chargers,Chargers,6.272727273,11,3900,LAC@DEN,LAC,DEN,,,,,
40934-12538,D,Los Angeles,Los Angeles Rams,Rams,8.909090909,11,4100,LAR@ARI,LAR,ARI,,,,,
40934-14304,TE,Luke,Luke Stocker,Stocker,0.914285728,7,4000,NO@ATL,ATL,NO,Q,Back,,,
40934-32000,TE,Luke,Luke Willson,Willson,1.98333327,6,4100,MIN@SEA,SEA,MIN,Q,Hamstring,,,
40934-25267,WR,Mack,Mack Hollins,Hollins,2.5,7,4500,PHI@MIA,PHI,MIA,,,,,
40934-14320,RB,Bilal,Bilal Powell,Powell,1.637500048,8,4900,NYJ@CIN,NYJ,CIN,,,,,
40934-104289,WR,Malik,Malik Taylor,Taylor,0,0,4500,GB@NYG,GB,NYG,,,,,
40934-55088,WR,Malik,Malik Turner,Turner,4.228571483,7,4900,MIN@SEA,SEA,MIN,,,,,
40934-23075,QB,Alex,Alex Tanney,Tanney,0,0,6000,GB@NYG,NYG,GB,,,,,
40934-6672,TE,Marcedes,Marcedes Lewis,Lewis,2.571428571,7,4000,GB@NYG,GB,NYG,,,,,
40934-41042,WR,Marcell,Marcell Ateman,Ateman,2.666666667,3,4500,OAK@KC,OAK,KC,,,,,
40934-52776,WR,Marcus,Marcus Green,Green,0,0,4500,PHI@MIA,PHI,MIA,,,,,
40934-32235,WR,Marcus,Marcus Johnson,Johnson,4.399999936,3,4900,TEN@IND,IND,TEN,,,,,
40934-29915,QB,Brett,Brett Hundley,Hundley,0,1,6000,LAR@ARI,ARI,LAR,,,,,
